,AL.oldAL1,AL.oldAL2,CR.oldCR1,CR.oldCR2
Klhl12,541,441,538,1243
Rabif,38,89,52,64
Kdm5b,1179,1137,993,2092
Syt2,115,133,85,210
Ppp1r12b,2049,2423,2074,4373
Gm28892,6,12,12,6
Ube2t,33,23,19,42
Lgr6,0,3,2,2
Ptpn7,1,2,0,2
Arl8a,145,108,132,245
Gm15445,7,15,10,22
Gm26642,0,5,11,13
Elf3,56,20,40,85
Rnpep,146,166,153,257
Timm17a,73,94,108,164
Lmod1,0,2,0,0
Shisa4,6,4,2,9
Ipo9,453,481,433,755
Gm28277,3,8,2,2
Nav1,1413,1473,1161,2065
Gm4793,7,11,4,4
Gm57161,4,4,1,1
Csrp1,205,144,422,597
Phlda3,5,12,16,9
Lad1,2,0,0,0
Tmem9,50,54,63,94
Kif21b,41,39,8,29
Mroh3,2,0,0,0
Inava,1,4,0,1
Gm26781,3,5,3,10
Camsap2,787,611,583,1378
9230116N13Rik,9,12,11,25
Ddx59,23,35,35,67
Kif14,0,0,0,2
Zfp281,94,101,80,194
Gm19705,127,136,81,227
Nr5a2,9,17,10,18
Gm4258,32,27,5,45
Gm26930,3,0,0,4
Ptprc,299,307,0,14
Nek7,1133,1123,1124,2704
Gm28501,24,33,36,80
2310009B15Rik,7,27,20,31
Dennd1b,1431,1731,1458,3054
Crb1,23,30,2,12
Zbtb41,110,136,129,239
Aspm,7,3,7,6
Cfh,3,1,0,6
Kcnt2,5,1,1,7
4930590L20Rik,4,1,5,2
Cdc73,1233,1170,1371,2458
B3galt2,31,27,36,69
Glrx2,65,99,77,102
Ro60,375,422,546,823
Uchl5,77,120,99,224
Gm29170,24,33,29,38
Rgs2,194,226,105,285
Rgs13,5,2,0,8
Rgs1,7,38,1,1
Brinp3,117,10,34,295
A230059L01Rik,6,3,3,7
Pla2g4a,1,3,2,4
Ptgs2,0,7,7,0
Odr4,398,479,404,718
Tpr,1419,1404,1265,2481
Prg4,2,1,4,5
Hmcn1,0,2,0,6
Gm10138,71,112,97,181
Ivns1abp,535,521,424,1148
Swt1,525,559,468,798
Trmt1l,384,521,369,717
Rnf2,160,181,182,312
Niban1,38,69,5,8
2810414N06Rik,4,4,5,5
Edem3,532,714,609,1182
1700025G04Rik,646,671,628,1212
Tsen15,54,79,78,132
Colgalt2,355,310,399,656
Rgl1,1364,1403,1035,2888
Gm15479,4,1,3,3
Gm28792,8,8,12,13
Apobec4,16,31,60,61
Arpc5,301,249,401,697
Ncf2,24,8,1,5
Smg7,1024,890,855,1913
Gm28791,49,50,46,125
Nmnat2,83,109,8,61
Gm28960,0,1,0,2
Lamc2,96,124,106,237
Lamc1,549,565,563,1321
E330020D12Rik,3,0,0,2
Shcbp1l,6,5,5,10
Dhx9,890,719,810,1669
Npl,8,10,12,17
Rgs8,66,41,21,67
C230024C17Rik,3,0,0,5
Rgs16,36,67,39,43
Gm28513,3,0,2,2
Rnasel,41,49,53,57
Rgsl1,8,5,2,18
Teddm2,29,27,41,62
Glul,249,401,313,350
A830008E24Rik,3,0,0,2
Cacna1e,175,92,138,276
Gm29282,1,2,6,0
Gm9530,24,16,17,30
Ier5,10,36,13,27
Mr1,21,35,45,48
Stx6,559,677,679,1194
BC034090,2,2,4,7
Xpr1,1300,1259,1102,3348
Gm5532,1,2,1,0
Acbd6,740,777,706,1339
Qsox1,166,208,280,383
Gm37571,8,9,10,21
Cep350,1946,1729,1698,3196
Tor1aip1,498,369,472,1089
Tor1aip2,644,825,740,1414
Fam163a,88,163,30,131
Tdrd5,0,0,1,3
Axdnd1,2,0,3,10
Gm2000,10,13,22,1
Soat1,71,47,27,98
Abl2,792,893,787,1430
Tor3a,106,102,72,205
Fam20b,241,274,290,469
Ralgps2,593,539,516,922
Angptl1,6,5,7,4
4930439D14Rik,0,0,0,2
Tex35,1,1,0,3
Rasal2,1311,1376,1123,2195
Cryzl2,185,292,258,359
Gm15486,0,5,2,9
Sec16b,222,361,275,533
Brinp2,17,5,5,21
Astn1,36,45,57,38
Gm37679,0,0,7,0
Pappa2,7584,15021,6066,13754
Cop1,1136,1116,1164,2268
Tnr,8349,10471,10071,19364
Gm10530,8,8,8,8
Gm38039,11,11,8,14
4930523C07Rik,82,64,10,10
Tnn,2,0,4,2
Mrps14,17,23,17,60
Cacybp,86,104,117,115
Rabgap1l,4147,4564,4705,8015
Gm36975,118,202,177,290
Gm37529,75,103,70,103
Gpr52,5,13,4,15
Rc3h1,989,1120,1015,1928
Serpinc1,25,28,17,56
Zbtb37,211,234,187,362
Gm37362,1,3,8,6
Gas5,268,409,237,543
Dars2,84,138,84,167
Gm37634,1,2,0,2
Cenpl,12,6,10,15
Klhl20,165,194,149,289
Ankrd45,37,34,28,63
Tex50,2,2,1,3
Prdx6,106,141,115,189
Suco,1192,896,1026,2087
4930558K02Rik,4,4,8,10
Pigc,25,32,17,49
Gm38304,40,29,38,62
Dnm3,1890,2163,1484,3696
Dnm3os,1,2,3,3
Mettl13,40,48,49,57
Vamp4,582,605,647,1497
Prrc2c,3869,3495,3050,6424
Fmo4,11,3,10,12
Fmo1,9,7,10,20
Fmo2,8,7,1,3
Prrx1,2,0,0,0
Gorab,94,138,86,150
Kifap3,715,719,800,1411
Scyl3,183,261,208,385
BC055324,24,19,37,41
Mettl18,13,12,21,26
Gm57120,2,5,4,2
Sell,20,25,0,1
Gm16548,2,1,0,0
F5,8,15,1,7
Slc19a2,127,85,206,232
Ccdc181,71,77,53,131
Blzf1,190,204,289,397
Nme7,382,437,466,825
Atp1b1,609,649,725,1504
Gm32391,55,82,110,121
Gm32569,1,1,0,2
Gm20743,2,2,0,1
4930568G15Rik,5,14,11,19
Sft2d2,78,104,89,165
